2016-07-17 15:24:58,098 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: MavenDemo:MavenDemo:0.0.1-SNAPSHOT @ D:\Rakhi\MavenDemo\MavenDemo\pom.xml.
2016-07-17 15:25:01,643 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-17 15:25:01,645 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Rakhi\MavenDemo\MavenDemo\src\main\resources
2016-07-17 15:25:01,649 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-17 15:25:01,650 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Rakhi\MavenDemo\MavenDemo\src\test\resources
2016-07-17 15:25:01,699 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /MavenDemo/src
2016-07-17 15:25:01,700 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /MavenDemo/src/test/java because it overlaps with /MavenDemo/src
2016-07-17 15:25:02,037 [Worker-7] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-07-17 15:25:03,117 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: MavenDemo:MavenDemo:0.0.1-SNAPSHOT @ D:\Rakhi\MavenDemo\MavenDemo\pom.xml.
2016-07-17 15:25:03,968 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-17 15:25:03,970 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Rakhi\MavenDemo\MavenDemo\src\main\resources
